"","word","n"
"1","of the",43313
"2","in the",41035
"3","to the",21388
"4","for the",20171
"5","on the",19891
"6","to be",16508
"7","at the",14496
"8","and the",12587
"9","in a",11945
"10","with the",10582
"11","is a",10279
"12","it was",9944
"13","for a",9325
"14","from the",8786
"15","i was",8682
"16","i have",8532
"17","it is",8389
"18","and i",8285
"19","will be",8232
"20","with a",8228
"21","going to",7987
"22","of a",7893
"23","i am",7687
"24","is the",7398
"25","have a",7390
"26","if you",7261
"27","one of",7200
"28","to get",7105
"29","as a",6836
"30","want to",6344
"31","have to",6175
"32","by the",6131
"33","that the",6039
"34","i think",5968
"35","to do",5879
"36","this is",5876
"37","the first",5823
"38","and a",5811
"39","out of",5755
"40","was a",5627
"41","to a",5566
"42","that i",5458
"43","to see",5447
"44","on a",5359
"45","all the",5203
"46","but i",5131
"47","i love",5099
"48","the same",5021
"49","you can",5006
"50","to make",4837
"51","be a",4832
"52","have been",4796
"53","a lot",4736
"54","he was",4600
"55","thanks for",4586
"56","you are",4481
"57","has been",4469
"58","need to",4468
"59","would be",4434
"60","a few",4367
"61","of my",4339
"62","when i",4297
"63","i don't",4295
"64","as the",4258
"65","about the",4230
"66","i can",4198
"67","more than",4182
"68","to go",4166
"69","in my",4127
"70","you have",4126
"71","i had",4097
"72","a little",4086
"73","thank you",4066
"74","a great",4050
"75","the best",4042
"76","i know",4029
"77","we are",3948
"78","a good",3928
"79","had a",3923
"80","to have",3891
"81","into the",3881
"82","he said",3858
"83","they are",3762
"84","there is",3674
"85","i just",3653
"86","is not",3550
"87","that is",3498
"88","a new",3417
"89","the new",3409
"90","over the",3401
"91","there are",3382
"92","so i",3377
"93","the most",3368
"94","we have",3328
"95","i will",3313
"96","the world",3250
"97","like a",3245
"98","do you",3209
"99","part of",3200
"100","trying to",3125
"101","so much",3104
"102","lot of",3098
"103","and then",3064
"104","but the",3057
"105","on my",3040
"106","was the",3034
"107","said the",3025
"108","back to",3023
"109","all of",3008
"110","at least",3007
"111","as well",3005
"112","i would",2981
"113","are you",2922
"114","able to",2894
"115","the way",2887
"116","some of",2873
"117","up to",2825
"118","you know",2798
"119","go to",2788
"120","at a",2780
"121","of his",2773
"122","to me",2772
"123","if i",2755
"124","the time",2726
"125","time to",2713
"126","can be",2709
"127","the last",2698
"128","the other",2671
"129","i want",2659
"130","and it",2633
"131","for me",2605
"132","is that",2604
"133","in this",2589
"134","when you",2589
"135","way to",2573
"136","the next",2562
"137","to take",2558
"138","right now",2525
"139","according to",2494
"140","kind of",2481
"141","that he",2478
"142","to my",2450
"143","he is",2422
"144","the only",2415
"145","the end",2385
"146","in his",2358
"147","when the",2353
"148","i could",2352
"149","had to",2349
"150","of this",2347
"151","should be",2346
"152","that was",2333
"153","be the",2332
"154","this year",2331
"155","they were",2328
"156","what i",2318
"157","the day",2274
"158","to say",2267
"159","has a",2259
"160","from a",2249
"161","but it",2233
"162","of course",2222
"163","i need",2215
"164","that you",2186
"165","me to",2178
"166","i can't",2157
"167","it's a",2147
"168","i got",2137
"169","that it",2129
"170","of our",2122
"171","would have",2119
"172","get a",2109
"173","not a",2108
"174","as i",2090
"175","i do",2085
"176","a bit",2081
"177","through the",2079
"178","and that",2077
"179","how to",2056
"180","like the",2037
"181","that we",2036
"182","said he",2035
"183","with my",2014
"184","the city",1995
"185","after the",1990
"186","she was",1983
"187","are the",1978
"188","out the",1974
"189","like to",1972
"190","to work",1963
"191","it to",1962
"192","the state",1960
"193","it would",1957
"194","new york",1955
"195","year old",1955
"196","have the",1942
"197","for you",1939
"198","wanted to",1933
"199","of their",1916
"200","during the",1909
"201","end of",1904
"202","up the",1904
"203","into a",1892
"204","which is",1892
"205","and we",1890
"206","i hope",1871
"207","there was",1867
"208","of them",1862
"209","by a",1861
"210","to help",1861
"211","to find",1857
"212","is to",1844
"213","this week",1814
"214","off the",1811
"215","and his",1810
"216","last year",1806
"217","that they",1806
"218","because of",1804
"219","i feel",1803
"220","up and",1803
"221","we can",1787
"222","to keep",1783
"223","i'm not",1779
"224","he has",1778
"225","i like",1776
"226","most of",1770
"227","we were",1764
"228","you want",1763
"229","in your",1758
"230","such a",1753
"231","love you",1744
"232","to you",1744
"233","up with",1741
"234","not to",1739
"235","it will",1729
"236","did not",1720
"237","they have",1716
"238","such as",1714
"239","and you",1712
"240","for my",1712
"241","of your",1710
"242","out to",1710
"243","i thought",1701
"244","could be",1694
"245","of it",1689
"246","it i",1687
"247","the game",1685
"248","what you",1674
"249","do it",1673
"250","had been",1671
"251","if the",1671
"252","around the",1667
"253","make it",1667
"254","it and",1664
"255","she said",1664
"256","i get",1661
"257","and he",1652
"258","do not",1650
"259","you to",1647
"260","a big",1645
"261","a very",1643
"262","me i",1639
"263","last night",1634
"264","when he",1632
"265","used to",1630
"266","the right",1623
"267","forward to",1620
"268","i did",1617
"269","what is",1617
"270","a couple",1603
"271","know what",1597
"272","to come",1596
"273","in an",1592
"274","can't wait",1591
"275","the past",1587
"276","it has",1579
"277","in their",1569
"278","look at",1560
"279","of those",1558
"280","the second",1553
"281","make a",1550
"282","i really",1548
"283","me and",1546
"284","about it",1545
"285","and other",1542
"286","he had",1535
"287","just a",1532
"288","because i",1530
"289","is an",1527
"290","for this",1525
"291","see the",1525
"292","to know",1518
"293","try to",1514
"294","is in",1512
"295","and they",1509
"296","are not",1500
"297","well as",1500
"298","you will",1495
"299","of you",1494
"300","in our",1491
"301","a long",1489
"302","is it",1488
"303","see you",1488
"304","get to",1479
"305","people who",1477
"306","looking for",1470
